Bereich,Dateien,Branches,Functions,Lines,Lines getroffen,Lines gesamt
Interfaces,13,88.6%,100.0%,96.5%,139,144
app.component.html,1,0.0%,0.0%,33.3%,1,3
app.component.ts,1,75.0%,66.7%,54.5%,6,11
auth,8,63.5%,62.3%,65.6%,149,227
components,8,70.1%,45.5%,71.3%,82,115
components/common,41,77.2%,71.3%,75.3%,1049,1394
features/experiment-dashboard,16,38.9%,45.6%,44.9%,262,584
features/experiment-report-preview,3,59.1%,66.7%,73.5%,125,170
features/experiment-wizard,46,38.9%,28.8%,47.5%,2830,5959
features/search-strategie,51,70.7%,59.1%,77.5%,2093,2699
features/tools,11,59.9%,40.5%,53.9%,292,542
guards,3,85.7%,83.3%,89.5%,17,19
layout,4,68.0%,61.5%,70.7%,82,116
other,4,0.0%,0.0%,100.0%,13,13
services,21,55.8%,52.0%,57.7%,806,1397
shared,5,88.6%,100.0%,94.7%,54,57
util,11,59.4%,57.1%,68.1%,126,185
utils,1,50.0%,100.0%,50.0%,8,16
